device_type,draft_model,dtype,exact_output_match_with_hf_generate,generated_tokens,latency_ms,mode,prompt_id,prompt_type,repetition,speedup_vs_hf_generate,temperature,tokens_per_second,verifier_model
cuda,,torch.bfloat16,True,64,4739.358550999896,hf_generate,code_001,code_completion,0,,0.0,13.503937149152277,meta-llama/Llama-3.1-8B
cuda,meta-llama/Llama-3.2-1B,torch.bfloat16,False,64,8789.622151000003,hf_assisted,code_001,code_completion,0,0.5391993500495007,0.0,7.281314133932215,meta-llama/Llama-3.1-8B
cuda,,torch.bfloat16,True,64,1985.311834998356,hf_generate,code_002,code_completion,0,,0.0,32.23674934676093,meta-llama/Llama-3.1-8B
cuda,meta-llama/Llama-3.2-1B,torch.bfloat16,False,64,2589.231969001048,hf_assisted,code_002,code_completion,0,0.7667570379042977,0.0,24.717754440785715,meta-llama/Llama-3.1-8B
cuda,,torch.bfloat16,True,64,1817.9096000003483,hf_generate,code_003,code_completion,0,,0.0,35.205270933157365,meta-llama/Llama-3.1-8B
cuda,meta-llama/Llama-3.2-1B,torch.bfloat16,True,64,3198.033894001128,hf_assisted,code_003,code_completion,0,0.5684460078457527,0.0,20.012295717081425,meta-llama/Llama-3.1-8B
cuda,,torch.bfloat16,True,9,291.325706999487,hf_generate,json_001,structured_json,0,,0.0,30.89325721610914,meta-llama/Llama-3.1-8B
cuda,meta-llama/Llama-3.2-1B,torch.bfloat16,True,9,602.9551299998275,hf_assisted,json_001,structured_json,0,0.48316316174235113,0.0,14.926483833054998,meta-llama/Llama-3.1-8B
cuda,,torch.bfloat16,True,64,1981.77070300153,hf_generate,json_002,structured_json,0,,0.0,32.29435166392739,meta-llama/Llama-3.1-8B
cuda,meta-llama/Llama-3.2-1B,torch.bfloat16,False,40,1723.5788260004483,hf_assisted,json_002,structured_json,0,1.149799865898918,0.0,23.20752575779763,meta-llama/Llama-3.1-8B
cuda,,torch.bfloat16,True,64,2213.2772439999826,hf_generate,json_003,structured_json,0,,0.0,28.91639543735376,meta-llama/Llama-3.1-8B
cuda,meta-llama/Llama-3.2-1B,torch.bfloat16,False,64,1781.5738429999328,hf_assisted,json_003,structured_json,0,1.2423157494685255,0.0,35.92329346968438,meta-llama/Llama-3.1-8B
cuda,,torch.bfloat16,True,64,1829.8742349998065,hf_generate,open_001,open_ended,0,,0.0,34.97508122464316,meta-llama/Llama-3.1-8B
cuda,meta-llama/Llama-3.2-1B,torch.bfloat16,False,64,2839.3391009994957,hf_assisted,open_001,open_ended,0,0.6444718893758268,0.0,22.540456677918783,meta-llama/Llama-3.1-8B
cuda,,torch.bfloat16,True,64,1892.4479609995615,hf_generate,open_002,open_ended,0,,0.0,33.81863138059352,meta-llama/Llama-3.1-8B
cuda,meta-llama/Llama-3.2-1B,torch.bfloat16,False,64,2108.5240020001947,hf_assisted,open_002,open_ended,0,0.897522607854756,0.0,30.352986230788986,meta-llama/Llama-3.1-8B
cuda,,torch.bfloat16,True,64,1835.5837460003386,hf_generate,open_003,open_ended,0,,0.0,34.86629261097641,meta-llama/Llama-3.1-8B
cuda,meta-llama/Llama-3.2-1B,torch.bfloat16,True,64,1868.64877699918,hf_assisted,open_003,open_ended,0,0.9823053794774962,0.0,34.2493467941986,meta-llama/Llama-3.1-8B
