run,prompt_type,rows,repetitions,mean_speedup,median_speedup,std_speedup,ci95_speedup,min_speedup,max_speedup,slowdown_rate,mean_acceptance_rate,mean_draft_overhead_ms
llama_seed42,code_completion,72,2,1.032333411647798,0.876456288712963,0.6250599788003726,0.14438148888830057,0.3274881828649494,3.4082302458847296,0.6388888888888888,0.7001854236524837,2112.6979969303425
llama_seed42,factual_qa,72,2,0.8393149863717495,0.7611303013820165,0.3054737299846269,0.07056083167584953,0.1716616147992462,1.5277163602559736,0.8333333333333334,0.6769073084380083,2575.0977713194347
llama_seed42,open_ended,72,2,0.8888641819287567,0.9301653444363627,0.2859860499023653,0.06605940723550084,0.0574130698804756,1.2333885494073904,0.6666666666666666,0.7686108502643978,2267.3663228887526
llama_seed42,structured_json,72,2,1.8106568633378946,0.9722527370923579,2.7708005440709558,0.6400222723157964,0.0479531934326651,12.841767892862556,0.5833333333333334,0.7210881954678944,1394.098212458431
llama_seed42,summarization,72,2,1.0606911450712397,0.9584162295948413,0.4458457734656193,0.10298511946176092,0.5378225491419338,2.242893537757684,0.5833333333333334,0.7689347623455949,2026.3478045971324
llama_seed43,code_completion,72,2,1.026568261731499,0.8776632736427743,0.6122938409661962,0.14143266149514522,0.1336379337214472,3.1898591952031765,0.6527777777777778,0.7001854236524837,2212.152659000165
llama_seed43,factual_qa,72,2,0.8427888689636017,0.7632487181989314,0.3100728315402346,0.07162316993564585,0.1711680925295303,1.5417795027346646,0.8333333333333334,0.6769073084380083,2697.3859796115044
llama_seed43,open_ended,72,2,0.8515795800855908,0.9316518936867593,0.3371705023093984,0.07788241254235637,0.057930083162068,1.2386858000613492,0.6666666666666666,0.7686108502643978,2417.0764457501264
llama_seed43,structured_json,72,2,1.2709192928514106,0.7266875193997369,2.251189728785013,0.5199982975007199,0.0406765106192593,12.682345506735407,0.6805555555555556,0.7210881954678944,1468.1034663340142
llama_seed43,summarization,72,2,1.0432844528068008,0.9536722329647274,0.4913191911047471,0.11348894304070367,0.3059305736517062,2.246102677038859,0.5972222222222222,0.7689347623455949,2130.935787277483
qwen_seed42,code_completion,72,2,0.6937885779372991,0.6875941330947086,0.1872827214085965,0.043260101553649274,0.535781407140889,1.573925748118825,0.9583333333333334,0.741253035012127,3354.148038236461
qwen_seed42,factual_qa,72,2,0.5615747672961277,0.5541985151555617,0.08438344049102811,0.019491580310412118,0.4035297271391614,0.7219017135622914,1.0,0.5520690913244699,4081.509711680578
qwen_seed42,open_ended,72,2,0.549085468924796,0.5576455464719379,0.07174290004810464,0.01657176443449447,0.423519572249422,0.6522396206969177,1.0,0.520621010280024,4144.060117069696
qwen_seed42,structured_json,72,2,0.6467827458439847,0.6642486314046674,0.12185866570998259,0.028147915697491945,0.4243864411212775,0.9860240576560244,1.0,0.7054491784895788,3528.7783686388
qwen_seed42,summarization,72,2,0.5176676757940524,0.5381725487882891,0.0921864346975241,0.021293980015289836,0.3315312168511803,0.628553831999679,1.0,0.46471991242516986,4567.128841957735
qwen_seed43,code_completion,72,2,0.6922797255197539,0.6855747164392614,0.1811526722640874,0.04184413244274678,0.5350903638085318,1.5377770092727718,0.9583333333333334,0.741253035012127,3522.515401610955
qwen_seed43,factual_qa,72,2,0.5619334478935953,0.5546970654689731,0.08414113985153991,0.0194356117181579,0.4042030682191321,0.7154614286149031,1.0,0.5520690913244699,4205.5638319029895
qwen_seed43,open_ended,72,2,0.5484308974228681,0.5561046757040686,0.07151460969889335,0.016519032054185603,0.4247798127055273,0.6547574136446531,1.0,0.520621010280024,4296.04887324932
qwen_seed43,structured_json,72,2,0.6466181251892361,0.6642305140855054,0.12146507331151984,0.028057000491859635,0.4252742718790089,0.9816578437477615,1.0,0.7054491784895788,3652.637578431066
qwen_seed43,summarization,72,2,0.5181518223974205,0.5380076121450668,0.09257012803959042,0.021382608655553113,0.3314886885543695,0.6298024511775092,1.0,0.46471991242516986,4704.781301764898
