run,draft_k,rows,repetitions,mean_speedup,median_speedup,std_speedup,ci95_speedup,min_speedup,max_speedup,slowdown_rate,mean_acceptance_rate,mean_draft_overhead_ms
llama_seed42,1.0,90,2,0.8859562042833621,0.6591273732186593,1.442081251253814,0.2979370732325232,0.0479531934326651,11.146355397923369,0.8888888888888888,0.830896164021164,1718.3248105443176
llama_seed42,2.0,90,2,1.179000422213963,0.9396713885195929,1.633314908317373,0.33744635611067686,0.0716256318988678,12.841767892862556,0.8777777777777778,0.7915695046986975,1783.7201332888476
llama_seed42,4.0,90,2,1.2670870427033947,1.1592571187977359,1.2883621772063216,0.26617838350411566,0.0796105120111018,10.085666725236871,0.43333333333333335,0.7000871269747581,2083.7254800554597
llama_seed42,8.0,90,2,1.173444801485231,1.124792013458686,0.863482560760936,0.1783973453068338,0.0656699219421042,6.174309607883329,0.4444444444444444,0.5860284364400837,2714.716062666649
llama_seed43,1.0,90,2,0.7561184375877469,0.6593945830468622,1.1184860898498779,0.2310816202425683,0.0461393806580564,10.954690718205208,0.9111111111111111,0.830896164021164,1805.9392797776934
llama_seed43,2.0,90,2,1.0304257558722536,0.9316810571605241,1.2984884874167417,0.2682705008685944,0.0689041975885971,12.682345506735407,0.8888888888888888,0.7915695046986975,1880.3037140222639
llama_seed43,4.0,90,2,1.1465586575974862,1.0937776331904137,1.0756551320410883,0.22223265268113485,0.0672908182503662,10.17950085590807,0.4666666666666667,0.7000871269747581,2195.6762110114546
llama_seed43,8.0,90,2,1.095009514093636,1.0472551966894041,0.7843288158719203,0.16204401218699532,0.0406765106192593,6.12983853984698,0.4777777777777778,0.5860284364400837,2858.6042655672222
qwen_seed42,1.0,90,2,0.5424042910082121,0.5398995030751009,0.018426359159579242,0.003806925243333661,0.532649581490851,0.7036188124385245,1.0,0.7671875,2797.4641332667743
qwen_seed42,2.0,90,2,0.6592623534768132,0.6317194101392799,0.10182086350648227,0.021036408344366014,0.5916420660066759,1.5008939174366869,0.9888888888888889,0.6774928549120178,3134.062039056036
qwen_seed42,4.0,90,2,0.6521224217183513,0.5997918843071186,0.1394878879647718,0.028818496222371055,0.5263598661509937,1.573925748118825,0.9888888888888889,0.5488802328067247,3956.5599229108557
qwen_seed42,8.0,90,2,0.5213303224336312,0.43473559562506037,0.16727176726258808,0.03455870515570262,0.3315312168511803,1.398791422184143,0.9888888888888889,0.39372919430635317,5852.41396683295
qwen_seed43,1.0,90,2,0.5420326269027661,0.5401714409953744,0.017208124643901403,0.003555235384807084,0.5340344107976327,0.693208405867914,1.0,0.7671875,2899.559784111615
qwen_seed43,2.0,90,2,0.6587801903933784,0.6308129184833218,0.09807085692751451,0.020261648958395967,0.5979905435485942,1.463567520024155,0.9888888888888889,0.6774928549120178,3247.822753521713
qwen_seed43,4.0,90,2,0.6518497293132931,0.5992260421306654,0.1366928204321128,0.02824102928738137,0.5254128646392245,1.5377770092727718,0.9888888888888889,0.5488802328067247,4098.88046371243
qwen_seed43,8.0,90,2,0.5212686681288615,0.4342936981913279,0.16560712898997465,0.034214787325481846,0.3314886885543695,1.368483657194282,0.9888888888888889,0.39372919430635317,6058.974588221625
