run,prompt_id,temperature,draft_k,schedule_type,rows,repetitions,mean_speedup,median_speedup,std_speedup,ci95_speedup,min_speedup,max_speedup,slowdown_rate,mean_acceptance_rate,mean_draft_overhead_ms
llama_seed42,code_001,0.0,1.0,static,2,2,0.7328887385118511,0.7328887385118511,0.10465767715108903,0.14504814030486418,0.6588845852950836,0.8068928917286186,1.0,0.8714285714285714,1999.2673569998942
llama_seed42,code_001,0.0,2.0,static,2,2,1.384645707806198,1.384645707806198,0.6739595222880123,0.9340602429719951,0.9080843593510984,1.8612070562612977,0.5,0.8026315789473685,1115.1455824998493
llama_seed42,code_001,0.0,4.0,static,2,2,1.6153819994618202,1.6153819994618202,0.7947359552814862,1.1014478391353228,1.0534188162295124,2.1773451826941277,0.0,0.7093023255813954,1263.2988070001827
llama_seed42,code_001,0.0,8.0,static,2,2,1.7879681486083916,1.7879681486083916,0.8778680547794094,1.2166630508622653,1.1672216940868276,2.4087146031299556,0.0,0.648936170212766,1369.7560180002029
llama_seed42,code_001,0.3,1.0,static,2,2,1.2459642163724802,1.2459642163724802,0.9413587288931565,1.3046566358298195,0.5803230756429804,1.91160535710198,0.5,0.8714285714285714,1032.868038500169
llama_seed42,code_001,0.3,2.0,static,2,2,1.7197288164291136,1.7197288164291136,1.3063645610190648,1.8105289100048012,0.7959895766307455,2.6434680562274817,0.5,0.8026315789473685,1118.8020089995234
llama_seed42,code_001,0.3,4.0,static,2,2,2.0081200242626385,2.0081200242626385,1.5193417453217604,2.1057002280713695,0.9337831732058172,3.0824568753194597,0.5,0.7093023255813954,1262.0292629990217
llama_seed42,code_001,0.3,8.0,static,2,2,2.2160898109761717,2.2160898109761717,1.6859411713010422,2.3365952524207727,1.0239493760676144,3.4082302458847296,0.0,0.648936170212766,1375.9473749993276
llama_seed42,code_001,0.7,1.0,static,2,2,1.1367857167936843,1.1367857167936843,0.10096363358978509,0.13992845713055901,1.0653936468291134,1.2081777867582553,0.0,0.8714285714285714,1034.6261525005502
llama_seed42,code_001,0.7,2.0,static,2,2,1.5671839041762807,1.5671839041762807,0.13599934486515708,0.18848547562251763,1.4710178451852003,1.6633499631673612,0.0,0.8026315789473685,1120.64969450023
llama_seed42,code_001,0.7,4.0,static,2,2,1.8365174339957393,1.8365174339957393,0.15908417262573749,0.22047941459649617,1.724027936752629,1.9490069312388496,0.0,0.7093023255813954,1260.977453999999
llama_seed42,code_001,0.7,8.0,static,2,2,2.016664111495143,2.016664111495143,0.1715417455499533,0.23774472980850056,1.8953657799601935,2.137962443030092,0.0,0.648936170212766,1380.5161449993193
